,genome_id,genome_name,taxon_id,antibiotic,resistant_phenotype,measurement,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_method_version,laboratory_typing_platform,vendor,testing_standard,testing_standard_year,source
100114,562.2263,Escherichia coli O25:H4 strain ECO0216,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100133,562.22631,Escherichia coli O25:H4 strain ECO0218,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100152,562.22635,Escherichia coli O25:H4 strain ECO0222,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100171,562.22637,Escherichia coli O25:H4 strain ECO0224,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100190,562.22642,Escherichia coli O25:H4 strain ECO0230,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100209,562.2265,Escherichia coli O25:H4 strain ECO0237,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100228,562.22655,Escherichia coli O25:H4 strain ECO0243,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
100247,562.22657,Escherichia coli O25:H4 strain ECO0244,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100266,562.22669,Escherichia coli O25:H4 strain ECO0257,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100285,562.2267,Escherichia coli O25:H4 strain ECO0258,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100304,562.22671,Escherichia coli O25:H4 strain ECO0259,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100323,562.2268,Escherichia coli O25:H4 strain ECO0270,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
100342,562.22694,Escherichia coli O25:H4 strain ECO0282,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100361,562.23792,Escherichia coli O25:H4 strain ECO0296,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100380,562.23791,Escherichia coli O25:H4 strain ECO0297,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100399,562.22717,Escherichia coli O25:H4 strain ECO0302,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
100418,562.22718,Escherichia coli O25:H4 strain ECO0304,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100437,562.22733,Escherichia coli O25:H4 strain ECO0322,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
100456,562.22754,Escherichia coli O25:H4 strain ECO0345,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
100475,562.22762,Escherichia coli O25:H4 strain ECO0353,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100494,562.22766,Escherichia coli O25:H4 strain ECO0357,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100513,562.22768,Escherichia coli O25:H4 strain ECO0359,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
100532,562.22773,Escherichia coli O25:H4 strain ECO0365,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100551,562.22783,Escherichia coli O25:H4 strain ECO0381,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100570,562.22784,Escherichia coli O25:H4 strain ECO0382,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100589,562.22878,Escherichia coli O25:H4 strain ECO0387,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100608,562.22879,Escherichia coli O25:H4 strain ECO0392,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100627,562.22797,Escherichia coli O25:H4 strain ECO0395,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100646,562.22806,Escherichia coli O25:H4 strain ECO0404,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100665,562.22811,Escherichia coli O25:H4 strain ECO0407,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100684,562.22813,Escherichia coli O25:H4 strain ECO0411,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100703,562.2282,Escherichia coli O25:H4 strain ECO0419,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
100722,562.22821,Escherichia coli O25:H4 strain ECO0420,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
100741,562.22822,Escherichia coli O25:H4 strain ECO0422,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
102160,562.22692,Escherichia coli O26:H27 strain ECO0283,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102179,562.22643,Escherichia coli O26:H30 strain ECO0227,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102208,562.22428,Escherichia coli O2:H1 strain ECO0001,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102227,562.22444,Escherichia coli O2:H1 strain ECO0017,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102246,562.22446,Escherichia coli O2:H1 strain ECO0019,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102265,562.22572,Escherichia coli O2:H1 strain ECO0147,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102284,562.22613,Escherichia coli O2:H1 strain ECO0189,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102303,562.22644,Escherichia coli O2:H1 strain ECO0231,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102322,562.22683,Escherichia coli O2:H1 strain ECO0272,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102341,562.22686,Escherichia coli O2:H1 strain ECO0276,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102360,562.22787,Escherichia coli O2:H1 strain ECO0376,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102379,562.22812,Escherichia coli O2:H1 strain ECO0409,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102714,562.22477,Escherichia coli O2:H14 strain ECO0050,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102733,562.22529,Escherichia coli O2:H18 strain ECO0104,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102752,562.22679,Escherichia coli O2:H18 strain ECO0269,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102781,562.22507,Escherichia coli O2:H4 strain ECO0080,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102800,562.2252,Escherichia coli O2:H4 strain ECO0094,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102819,562.22538,Escherichia coli O2:H4 strain ECO0113,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102838,562.22564,Escherichia coli O2:H4 strain ECO0139,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102857,562.22617,Escherichia coli O2:H4 strain ECO0202,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102876,562.22632,Escherichia coli O2:H4 strain ECO0217,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102895,562.22647,Escherichia coli O2:H4 strain ECO0235,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102914,562.23867,Escherichia coli O2:H4 strain ECO0298,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102933,562.22721,Escherichia coli O2:H4 strain ECO0308,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102952,562.22727,Escherichia coli O2:H4 strain ECO0314,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102971,562.22728,Escherichia coli O2:H4 strain ECO0315,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
102990,562.22737,Escherichia coli O2:H4 strain ECO0327,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103009,562.22767,Escherichia coli O2:H4 strain ECO0358,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103354,562.22658,Escherichia coli O2:H6 strain ECO0245,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103373,562.22715,Escherichia coli O2:H6 strain ECO0300,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103392,562.22771,Escherichia coli O2:H6 strain ECO0362,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103629,562.22451,Escherichia coli O2:H7 strain ECO0023,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103648,562.22509,Escherichia coli O2:H7 strain ECO0082,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103667,562.22513,Escherichia coli O2:H7 strain ECO0086,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103686,562.22557,Escherichia coli O2:H7 strain ECO0131,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103705,562.22566,Escherichia coli O2:H7 strain ECO0141,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103724,562.22571,Escherichia coli O2:H7 strain ECO0146,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103743,562.22593,Escherichia coli O2:H7 strain ECO0169,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103762,562.22648,Escherichia coli O2:H7 strain ECO0234,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103781,562.2273,Escherichia coli O2:H7 strain ECO0317,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103800,562.22789,Escherichia coli O2:H7 strain ECO0380,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103819,562.22805,Escherichia coli O2:H7 strain ECO0403,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
103838,562.22808,Escherichia coli O2:H7 strain ECO0406,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104093,562.22496,Escherichia coli O2:H9 strain ECO0069,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104156,562.22776,Escherichia coli O39:H4 strain ECO0370,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104241,562.22434,Escherichia coli O45:H45 strain ECO0007,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104260,562.22454,Escherichia coli O45:H7 strain ECO0027,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104455,562.22448,Escherichia coli O4:H1 strain ECO0021,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104474,562.22621,Escherichia coli O4:H1 strain ECO0206,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104493,562.22689,Escherichia coli O4:H1 strain ECO0277,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104512,562.22873,Escherichia coli O4:H1 strain ECO0306,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104531,562.22725,Escherichia coli O4:H1 strain ECO0312,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104550,562.22788,Escherichia coli O4:H1 strain ECO0378,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104825,562.2245,Escherichia coli O4:H5 strain ECO0024,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104844,562.22535,Escherichia coli O4:H5 strain ECO0110,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
104863,562.22553,Escherichia coli O4:H5 strain ECO0128,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104882,562.22696,Escherichia coli O4:H5 strain ECO0286,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
104901,562.22742,Escherichia coli O4:H5 strain ECO0332,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104920,562.22744,Escherichia coli O4:H5 strain ECO0334,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104939,562.22761,Escherichia coli O4:H5 strain ECO0352,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104957,562.22826,Escherichia coli O4:H5 strain ECO0427,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
104976,562.22827,Escherichia coli O4:H5 strain ECO0429,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105221,562.22722,Escherichia coli O51:H24 strain ECO0309,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105260,562.22591,Escherichia coli O54:H2 strain ECO0167,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105299,562.22701,Escherichia coli O5:H4 strain ECO0291,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105328,562.22441,Escherichia coli O6:H1 strain ECO0014,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105347,562.22443,Escherichia coli O6:H1 strain ECO0016,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105366,562.22469,Escherichia coli O6:H1 strain ECO0044,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105385,562.22472,Escherichia coli O6:H1 strain ECO0045,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105404,562.22492,Escherichia coli O6:H1 strain ECO0064,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105423,562.22497,Escherichia coli O6:H1 strain ECO0070,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105442,562.225,Escherichia coli O6:H1 strain ECO0073,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105461,562.22502,Escherichia coli O6:H1 strain ECO0075,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105480,562.22504,Escherichia coli O6:H1 strain ECO0077,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105499,562.22519,Escherichia coli O6:H1 strain ECO0093,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105518,562.22523,Escherichia coli O6:H1 strain ECO0097,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105537,562.22525,Escherichia coli O6:H1 strain ECO0099,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105556,562.22528,Escherichia coli O6:H1 strain ECO0102,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105575,562.2253,Escherichia coli O6:H1 strain ECO0105,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105594,562.22537,Escherichia coli O6:H1 strain ECO0112,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105613,562.22545,Escherichia coli O6:H1 strain ECO0120,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105632,562.22552,Escherichia coli O6:H1 strain ECO0127,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105651,562.22574,Escherichia coli O6:H1 strain ECO0149,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105670,562.22579,Escherichia coli O6:H1 strain ECO0154,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105689,562.22581,Escherichia coli O6:H1 strain ECO0156,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105708,562.22587,Escherichia coli O6:H1 strain ECO0162,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105727,562.22592,Escherichia coli O6:H1 strain ECO0168,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105746,562.22594,Escherichia coli O6:H1 strain ECO0170,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105765,562.22603,Escherichia coli O6:H1 strain ECO0179,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105784,562.22606,Escherichia coli O6:H1 strain ECO0182,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105803,562.22712,Escherichia coli O6:H1 strain ECO0197,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105822,562.22615,Escherichia coli O6:H1 strain ECO0200,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105841,562.22623,Escherichia coli O6:H1 strain ECO0208,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105860,562.22624,Escherichia coli O6:H1 strain ECO0209,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105879,562.22634,Escherichia coli O6:H1 strain ECO0221,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105898,562.22638,Escherichia coli O6:H1 strain ECO0225,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105917,562.22656,Escherichia coli O6:H1 strain ECO0242,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105936,562.22684,Escherichia coli O6:H1 strain ECO0273,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105955,562.22702,Escherichia coli O6:H1 strain ECO0292,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105974,562.22704,Escherichia coli O6:H1 strain ECO0294,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
105993,562.22714,Escherichia coli O6:H1 strain ECO0299,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106012,562.22738,Escherichia coli O6:H1 strain ECO0328,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106031,562.22745,Escherichia coli O6:H1 strain ECO0335,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106050,562.22759,Escherichia coli O6:H1 strain ECO0350,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106069,562.22769,Escherichia coli O6:H1 strain ECO0360,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106088,562.22774,Escherichia coli O6:H1 strain ECO0368,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106107,562.2279,Escherichia coli O6:H1 strain ECO0386,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106126,562.228,Escherichia coli O6:H1 strain ECO0398,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106145,562.22816,Escherichia coli O6:H1 strain ECO0415,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106164,562.22818,Escherichia coli O6:H1 strain ECO0417,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
106183,562.22819,Escherichia coli O6:H1 strain ECO0418,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107460,562.2243,Escherichia coli O6:H31 strain ECO0003,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107479,562.22438,Escherichia coli O6:H31 strain ECO0012,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107498,562.22526,Escherichia coli O6:H31 strain ECO0100,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107517,562.22533,Escherichia coli O6:H31 strain ECO0108,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107536,562.22569,Escherichia coli O6:H31 strain ECO0144,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107555,562.22577,Escherichia coli O6:H31 strain ECO0152,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107574,562.22641,Escherichia coli O6:H31 strain ECO0229,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107593,562.22674,Escherichia coli O6:H31 strain ECO0263,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107612,562.22748,Escherichia coli O6:H31 strain ECO0340,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107631,562.22756,Escherichia coli O6:H31 strain ECO0347,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107650,562.22777,Escherichia coli O6:H31 strain ECO0371,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
107669,562.22781,Escherichia coli O6:H31 strain ECO0373,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108022,562.22584,Escherichia coli O6:H7 strain ECO0159,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108071,562.22512,Escherichia coli O75:H5 strain ECO0085,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108090,562.22534,Escherichia coli O75:H5 strain ECO0109,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108109,562.22706,Escherichia coli O75:H5 strain ECO0191,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108128,562.22665,Escherichia coli O75:H5 strain ECO0253,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108147,562.22681,Escherichia coli O75:H5 strain ECO0271,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108166,562.22794,Escherichia coli O75:H5 strain ECO0391,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108185,562.22798,Escherichia coli O75:H5 strain ECO0396,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108204,562.22799,Escherichia coli O75:H5 strain ECO0397,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108481,562.22467,Escherichia coli O75:H7 strain ECO0040,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108500,562.22598,Escherichia coli O75:H7 strain ECO0174,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108519,562.2271,Escherichia coli O75:H7 strain ECO0195,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108744,562.22462,Escherichia coli O78:H9 strain ECO0035,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108773,562.22713,Escherichia coli O7:H15 strain ECO0198,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108822,562.22452,Escherichia coli O7:H45 strain ECO0025,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
108841,562.22578,Escherichia coli O7:H45 strain ECO0153,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109050,562.22697,Escherichia coli O81:H27 strain ECO0287,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109069,562.2281,Escherichia coli O81:H27 strain ECO0410,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109138,562.22605,Escherichia coli O83:H31 strain ECO0181,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109203,562.22719,Escherichia coli O83:H33 strain ECO0305,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109262,562.22486,Escherichia coli O83:H42 strain ECO0059,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109311,562.22547,Escherichia coli O85:H4 strain ECO0122,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109340,562.22695,Escherichia coli O86:H18 strain ECO0285,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109359,562.22734,Escherichia coli O86:H18 strain ECO0323,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109378,562.2275,Escherichia coli O86:H18 strain ECO0341,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109567,562.22542,Escherichia coli O86:H51 strain ECO0117,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109586,562.227,Escherichia coli O89/O162:H4 strain ECO0290,562.0,cefepime,Intermediate,,,,,,,VITEK 2,BioMerieux,,,
109605,562.22463,Escherichia coli O8:H10 strain ECO0039,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109680,562.22556,Escherichia coli O8:H15 strain ECO0132,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109699,562.226,Escherichia coli O8:H19 strain ECO0176,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109718,562.22724,Escherichia coli O8:H19 strain ECO0311,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109885,562.22747,Escherichia coli O8:H30 strain ECO0337,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109904,562.22758,Escherichia coli O8:H30 strain ECO0349,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109923,562.22458,Escherichia coli O8:H4 strain ECO0030,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109942,562.2264,Escherichia coli O8:H4 strain ECO0228,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
109961,562.2379,Escherichia coli O8:H4 strain ECO0412,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110028,562.2277,Escherichia coli O8:H8 strain ECO0361,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110056,562.22802,Escherichia coli O8:H9 strain ECO0400,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110153,562.2266,Escherichia coli O91:H21 strain ECO0250,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110192,562.22531,Escherichia coli O9:H10 strain ECO0106,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110241,562.22775,Escherichia coli O9:H25 strain ECO0369,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110300,562.22707,Escherichia coli O9:H30 strain ECO0192,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110319,562.22677,Escherichia coli O9:H30 strain ECO0267,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110368,562.22498,Escherichia coli O9:H4 strain ECO0071,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110387,562.22653,Escherichia coli O9:H4 strain ECO0240,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110436,562.22501,Escherichia coli O9:H9 strain ECO0074,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
110455,562.22554,Escherichia coli O9:H9 strain ECO0129,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
133974,562.22874,Escherichia coli not known strain ECO0321,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
134000,562.42634,Escherichia coli strain 100,562.0,cefepime,Susceptible,1,<=,1,mg/L,Broth dilution,,VITEK 2,BioMerieux,CLSI,,
134016,562.7579,Escherichia coli strain 100269_aEPEC,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,EUCAST,,
